team,player_id,is_overseas
Chennai Super Kings,Ruturaj Gaikwad,0
Chennai Super Kings,Ayush Mhatre,0
Chennai Super Kings,Sarfaraz Khan,0
Chennai Super Kings,Sanju Samson,0
Chennai Super Kings,MS Dhoni,0
Chennai Super Kings,Urvil Patel,0
Chennai Super Kings,Kartik Sharma,0
Chennai Super Kings,Shivam Dube,0
Chennai Super Kings,Ramakrishna Ghosh,0
Chennai Super Kings,Shreyas Gopal,0
Chennai Super Kings,Aman Khan,0
Chennai Super Kings,Prashant Veer,0
Chennai Super Kings,Rahul Chahar,0
Chennai Super Kings,Khaleel Ahmed,0
Chennai Super Kings,Gurjapneet Singh,0
Chennai Super Kings,Anshul Kamboj,0
Chennai Super Kings,Mukesh Choudhary,0
Chennai Super Kings,Jamie Overton,1
Chennai Super Kings,Dewald Brevis,1
Chennai Super Kings,Matt Short,1
Chennai Super Kings,Spencer Johnson,1
Chennai Super Kings,Zak Foulkes,1
Chennai Super Kings,Matt Henry,1
Chennai Super Kings,Noor Ahmad,1
Chennai Super Kings,Akeal Hosein,1
Delhi Capitals,Axar Patel,0
Delhi Capitals,Prithvi Shaw,0
Delhi Capitals,Karun Nair,0
Delhi Capitals,Nitish Rana,0
Delhi Capitals,Ashutosh Sharma,0
Delhi Capitals,Sameer Rizvi,0
Delhi Capitals,Sahil Parakh,0
Delhi Capitals,KL Rahul,0
Delhi Capitals,Abishek Porel,0
Delhi Capitals,Vipraj Nigam,0
Delhi Capitals,Auqib Nabi,0
Delhi Capitals,Madhav Tiwari,0
Delhi Capitals,T Vijay,0
Delhi Capitals,Ajay Mandal,0
Delhi Capitals,Kuldeep Yadav,0
Delhi Capitals,Mukesh Kumar,0
Delhi Capitals,T Natarajan,0
Delhi Capitals,Mitchell Starc,1
Delhi Capitals,Pathum Nissanka,1
Delhi Capitals,Dushmantha Chameera,1
Delhi Capitals,Lungi Ngidi,1
Delhi Capitals,David Miller,1
Delhi Capitals,Tristan Stubbs,1
Delhi Capitals,Kyle Jamieson,1
Gujarat Titans,Shubman Gill,0
Gujarat Titans,Sai Sudharsan,0
Gujarat Titans,Shahrukh Khan,0
Gujarat Titans,Anuj Rawat,0
Gujarat Titans,Kumar Kushagra,0
Gujarat Titans,Washington Sundar,0
Gujarat Titans,Manav Suthar,0
Gujarat Titans,Rahul Tewatia,0
Gujarat Titans,Nishant Sindhu,0
Gujarat Titans,Jayant Yadav,0
Gujarat Titans,Arshad Khan,0
Gujarat Titans,Sai Kishore,0
Gujarat Titans,Mohammed Siraj,0
Gujarat Titans,Prasidh Krishna,0
Gujarat Titans,Gurnoor Brar,0
Gujarat Titans,Ishant Sharma,0
Gujarat Titans,Ashok Sharma,0
Gujarat Titans,Kulwant Khejroliya,0
Gujarat Titans,Jos Buttler,1
Gujarat Titans,Tom Banton,1
Gujarat Titans,Luke Wood,1
Gujarat Titans,Glenn Phillips,1
Gujarat Titans,Jason Holder,1
Gujarat Titans,Rashid Khan,1
Gujarat Titans,Kagiso Rabada,1
Kolkata Knight Riders,Ajinkya Rahane,0
Kolkata Knight Riders,Angkrish Raghuvanshi,0
Kolkata Knight Riders,Manish Pandey,0
Kolkata Knight Riders,Rahul Tripathi,0
Kolkata Knight Riders,Rinku Singh,0
Kolkata Knight Riders,Tejasvi Dahiya,0
Kolkata Knight Riders,Anukul Roy,0
Kolkata Knight Riders,Daksh Kamra,0
